"","id","training_condition","attempt","role","future_role","partner","training","training_encounter","strategy_accept","strategy_reject","all_correct"
"1","id0003","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"2","id0004","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $4","The AI responder will learn to reject $1",1
"3","id0004","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $3",0
"4","id0005","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $6","The AI responder will learn to reject $5",1
"5","id0006","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to propose offers. ","No","The AI responder will learn to accept $5","The AI responder will learn to reject $6",0
"6","id0006","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $1",1
"7","id0007","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $3","The AI responder will learn to reject $1",1
"8","id0008","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"9","id0009","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"10","id0010","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"11","id0011","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"12","id0012","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"13","id0013","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $2",1
"14","id0014","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"15","id0015","training_receiver_others",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $6","The AI responder will learn to reject $5",1
"16","id0016","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked",1
"17","id0017","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $6",0
"18","id0017","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","The AI responder will learn to accept $2","The AI responder will learn to reject $6",1
"19","id0018","training_receiver_others",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","The AI responder will learn to accept $2","The AI responder will learn to reject $1",1
