"","id","training_condition","attempt","role","future_role","partner","training","training_encounter","others_encounter","strategy_accept","strategy_reject","all_correct"
"1","id0002","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"2","id0003","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $2",0
"3","id0003","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $5",1
"4","id0003","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","No","No","The AI responder will learn to accept $1","The AI responder will learn to reject $5",0
"5","id0004","training_receiver_self",1,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $4","The AI responder will learn to reject $3",0
"6","id0004","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $4",1
"7","id0005","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $3",1
"8","id0007","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $3",1
"9","id0009","control",2,"I will be responding to offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"10","id0009","control",4,"I will be proposing offers.","I will be proposing offers.","I will only play with AI.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"11","id0009","control",5,"I will be responding to offers.","I will be responding to offers.","I will only play with AI.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"12","id0009","control",6,"I will be proposing offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"13","id0009","control",3,"I will be proposing offers.","I will be responding to offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"14","id0009","control",8,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"15","id0009","control",1,"I will be responding to offers.","I will be responding to offers.","I will only play with human participants recruited from a separate Prolific experiment.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"16","id0009","control",7,"I will be proposing offers.","I will be proposing offers.","I will only play with AI.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"17","id0010","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"18","id0011","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"19","id0012","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $3",1
"20","id0013","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $3","The AI responder will learn to accept $6",0
"21","id0013","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $6",1
"22","id0014","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"23","id0015","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $5",1
"24","id0015","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $2",0
"25","id0016","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $3",1
"26","id0017","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"27","id0020","control",1,"I will be responding to offers.","I will be proposing offers.","I will only play with human participants recruited from a separate Prolific experiment.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",0
"28","id0020","control",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"29","id0021","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $4",1
"30","id0021","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $5",0
"31","id0022","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"32","id0023","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $4",1
"33","id0023","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $3",0
"34","id0024","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $1",1
"35","id0025","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $2",0
"36","id0025","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $1",1
"37","id0027","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"38","id0028","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"39","id0029","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"40","id0030","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"41","id0031","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"42","id0032","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $5",1
"43","id0033","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $2",1
"44","id0034","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","No","Yes","The AI responder will learn to accept $2","The AI responder will not learn anything.",0
"45","id0034","training_receiver_self",3,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","Yes","The AI responder will not learn anything.","The AI responder will not learn anything.",0
"46","id0034","training_receiver_self",4,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $1",1
"47","id0034","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","Yes","The AI responder will learn to accept $3","The AI responder will learn to reject $6",0
"48","id0035","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $4","The AI responder will learn to reject $6",1
"49","id0035","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will only play with AI.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $2","The AI responder will learn to reject $3",0
"50","id0036","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $1","The AI responder will learn to reject $6",1
"51","id0037","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"52","id0038","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to propose offers. ","Yes","No","The AI responder will learn to accept $5","The AI responder will learn to reject $2",0
"53","id0038","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $3",1
"54","id0041","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"55","id0042","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $6","The AI responder will learn to reject $3",1
"56","id0043","training_receiver_self",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","No","Yes","The AI responder will learn to accept $5","The AI responder will learn to reject $5",0
"57","id0043","training_receiver_self",2,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","I will be training an AI to respond to offers.","Yes","No","The AI responder will learn to accept $3","The AI responder will learn to reject $2",1
"58","id0044","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"59","id0045","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
"60","id0047","control",1,"I will be responding to offers.","I will be proposing offers.","I will play with both AI and human participants.","Question not asked","Question not asked","Question not asked","Question not asked","Question not asked",1
